Município;Cargo;Número;Nome do Candidato;Nome para Urna;Votos Computados;% Votos Computados;Destinação de Votos;Situação da Totalização;Partido;Partido/Coligação
"JUAZEIRO DO NORTE";"Vereador            ";"13223";"CICERO EVANDRO LOBO DA SILVA";"EVANDRO LOBO";171;0,13;"Válido";"Não eleito";"PT";"PT"
"JUAZEIRO DO NORTE";"Vereador            ";"15333";"MARIA LUCIA TAVARES AUGUSTO";"LUCIA TAVARES";167;0,12;"Válido";"Suplente";"MDB";"MDB"
"JUAZEIRO DO NORTE";"Vereador            ";"10333";"APARECIDO GOMES DOS SANTOS";"CIDO GOMES";167;0,12;"Válido";"Suplente";"REPUBLICANOS";"REPUBLICANOS"
"JUAZEIRO DO NORTE";"Vereador            ";"27444";"EVALEINE TAVARES DA SILVA";"EVA RODRIGUES";167;0,12;"Válido";"Suplente";"DC";"DC"
"JUAZEIRO DO NORTE";"Vereador            ";"40789";"RAFAEL SANTOS ALVES";"RAFAEL SANTOS";165;0,12;"Válido";"Suplente";"PSB";"PSB"
"JUAZEIRO DO NORTE";"Vereador            ";"40147";"MARIA GISELDA SOARES DA SILVA";"GISELDA SOARES";159;0,12;"Válido";"Suplente";"PSB";"PSB"
"JUAZEIRO DO NORTE";"Vereador            ";"19190";"CÍCERO BATISTA GOMES LUCIO";"CÍCERO LUCIO DO ROTA";158;0,12;"Válido";"Suplente";"PODE";"PODE"
"JUAZEIRO DO NORTE";"Vereador            ";"17000";"JOSIANE MELO DA SILVA";"JOSIANE MELO";153;0,11;"Válido";"Não eleito";"PSL";"PSL"
"JUAZEIRO DO NORTE";"Vereador            ";"40700";"MARIA DO SOCORRO OLIVEIRA FEITOSA";"PROF. SOCORRO OLIVEIRA";146;0,11;"Válido";"Suplente";"PSB";"PSB"
"JUAZEIRO DO NORTE";"Vereador            ";"27111";"CÍCERO HELIO RIBEIRO";"MAGUINHO";144;0,11;"Válido";"Suplente";"DC";"DC"
"JUAZEIRO DO NORTE";"Vereador            ";"18000";"RICARDO SILVA GALENO";"RICARDO DOS FRANCISCANOS";144;0,11;"Válido";"Suplente";"REDE";"REDE"
"JUAZEIRO DO NORTE";"Vereador            ";"33147";"CARLOS FLORENTINO DA SILVA";"FLORENTINO";143;0,11;"Válido";"Suplente";"PMN";"PMN"
"JUAZEIRO DO NORTE";"Vereador            ";"33193";"CÍCERA ALVES FIGUEIREDO";"CICINHA FIGUEIREDO";143;0,11;"Válido";"Suplente";"PMN";"PMN"
"JUAZEIRO DO NORTE";"Vereador            ";"10100";"JOAO VICENTE TOMAZ DINIZ";"JOAO DINIZ";143;0,11;"Válido";"Suplente";"REPUBLICANOS";"REPUBLICANOS"
"JUAZEIRO DO NORTE";"Vereador            ";"13120";"BRUNO RAFAEL DE LIMA COSTA";"BRUNO DO BASQUETE";143;0,11;"Válido";"Não eleito";"PT";"PT"
"JUAZEIRO DO NORTE";"Vereador            ";"15620";"LUIZ CALLOU BENJAMIM NETO";"LUIZ NETO";139;0,10;"Válido";"Suplente";"MDB";"MDB"
"JUAZEIRO DO NORTE";"Vereador            ";"14888";"MARIA APARECIDA SILVA SANTANA";"APARECIDA SANTANA";138;0,10;"Válido";"Suplente";"PTB";"PTB"
"JUAZEIRO DO NORTE";"Vereador            ";"22800";"SAULO ROMERO SOUSA DA SILVA";"SAULO ROMERO";137;0,10;"Válido";"Suplente";"PL";"PL"
"JUAZEIRO DO NORTE";"Vereador            ";"18123";"SORAYA ALMEIDA MENDES DE OLIVEIRA";"SORAYA MENDES";136;0,10;"Válido";"Suplente";"REDE";"REDE"
"JUAZEIRO DO NORTE";"Vereador            ";"33003";"MARIA WESLANIA SALVIANO DOS SANTOS";"WESLANIA SALVIANO";136;0,10;"Válido";"Suplente";"PMN";"PMN"
"JUAZEIRO DO NORTE";"Vereador            ";"17001";"FRANCISCO WALMIR ARAUJO FILHO";"WALMIR ARAUJO";135;0,10;"Válido";"Não eleito";"PSL";"PSL"
"JUAZEIRO DO NORTE";"Vereador            ";"40000";"ALUIZIO NERI FILHO";"ALUIZIO NERI";134;0,10;"Válido";"Suplente";"PSB";"PSB"
"JUAZEIRO DO NORTE";"Vereador            ";"15123";"ERIANA LANDIM CRUZ PARENTE";"ERIANA LANDIM";134;0,10;"Válido";"Suplente";"MDB";"MDB"
"JUAZEIRO DO NORTE";"Vereador            ";"10300";"VICENTE GUEDES DA COSTA";"NETO COSTA";134;0,10;"Válido";"Suplente";"REPUBLICANOS";"REPUBLICANOS"
